ACMG59	ACMG Recommendations...
D001848	Bone Diseases, Developmental
D001849	Bone Diseases, Endocrine
D001850	Bone Diseases, Infectious
D001850	Bone Diseases, Infectious
D001851	Bone Diseases, Metabolic
D001855	Bone Marrow Diseases
D001859	Bone Neoplasms
D001862	Bone Resorption
D001913	Bowen's Disease
D001919	Bradycardia
D001925	Brain Damage, Chronic
D001927	Brain Diseases
D001928	Brain Diseases, Metabolic
D001929	Brain Edema
D001932	Brain Neoplasms
D001941	Breast Diseases
D001943	Breast Neoplasms
D001982	Bronchial Diseases
D001984	Bronchial Neoplasms
D001987	Bronchiectasis
D001988	Bronchiolitis
D001989	Bronchiolitis Obliterans
D001991	Bronchitis
D001997	Bronchopulmonary Dysplasia
D002051	Burkitt Lymphoma
D002114	Calcinosis
D002128	Calcium Metabolism Disorders
D002178	Candidiasis, Chronic Mucocutaneous
D002180	Candidiasis, Oral
D002181	Candidiasis, Vulvovaginal
D002189	Marijuana Abuse
D002239	Carbohydrate Metabolism, Inborn Errors
D002276	Carcinoid Tumor
D002277	Carcinoma
D002278	Carcinoma in Situ
D002280	Carcinoma, Basal Cell
D002283	Carcinoma, Bronchogenic
D002285	Carcinoma, Intraductal, Noninfiltrating
D002288	Adenocarcinoma, Mucinous
D002289	Carcinoma, Non-Small-Cell Lung
D002292	Carcinoma, Renal Cell
D002293	Adenocarcinoma, Scirrhous
D002294	Carcinoma, Squamous Cell
D002295	Carcinoma, Transitional Cell
D002296	Carcinosarcoma
D002305	Cardiac Tamponade
D002310	Cardiomyopathy, Alcoholic
D002311	Cardiomyopathy, Dilated
D002312	Cardiomyopathy, Hypertrophic
D002313	Cardiomyopathy, Restrictive
D002318	Cardiovascular Diseases
D002340	Carotid Artery Diseases
D002341	Carotid Artery Thrombosis
D002345	Carotid Body Tumor
D002349	Carpal Tunnel Syndrome
D002357	Cartilage Diseases
D002375	Catalepsy
D002386	Cataract
D002389	Catatonia
D002429	Cecal Diseases
D002430	Cecal Neoplasms
D002446	Celiac Disease
D002471	Cell Transformation, Neoplastic
D002481	Cellulitis
D002493	Central Nervous System Diseases
D002494	Central Nervous System Infections
D002524	Cerebellar Ataxia
D002526	Cerebellar Diseases
D002532	Intracranial Aneurysm
D002534	Hypoxia, Brain
D002537	Intracranial Arteriosclerosis
D002538	Intracranial Arteriovenous Malformations
D002539	Cerebral Arterial Diseases
D002542	Intracranial Embolism and Thrombosis
D002543	Cerebral Hemorrhage
D002544	Cerebral Infarction
D002545	Brain Ischemia
D002546	Ischemic Attack, Transient
D002547	Cerebral Palsy
D002549	Diffuse Cerebral Sclerosis of Schilder
D002551	Cerebral Ventricle Neoplasms
D002561	Cerebrovascular Disorders
D002577	Uterine Cervical Diseases
D002583	Uterine Cervical Neoplasms
D002598	Chagas Cardiomyopathy
D002607	Charcot-Marie-Tooth Disease
D002609	Chediak-Higashi Syndrome
D002636	Cherubism
D002637	Chest Pain
D002658	Developmental Disabilities
D002659	Child Development Disorders, Pervasive
D002690	Chlamydia Infections
D002754	Choanal Atresia
D002761	Cholangitis
D002764	Cholecystitis
D002769	Cholelithiasis
D002779	Cholestasis
D002780	Cholestasis, Intrahepatic
D002804	Chondroblastoma
D002805	Chondrocalcinosis
D002806	Chondrodysplasia Punctata
D002812	Chondroma
D002813	Chondrosarcoma
D002817	Chordoma
D002819	Chorea
D002821	Chorioamnionitis
D002825	Chorioretinitis
D002833	Choroiditis
D002836	Hemophilia B
D002925	Ciliary Motility Disorders
D002971	Cleft Lip
D002972	Cleft Palate
D002973	Cleidocranial Dysplasia
D003025	Clubfoot
D003057	Cockayne Syndrome
D003072	Cognition Disorders
D003092	Colitis
D003093	Colitis, Ulcerative
D003095	Collagen Diseases
D003103	Coloboma
D003108	Colonic Diseases
D003109	Colonic Diseases, Functional
D003110	Colonic Neoplasms
D003117	Color Vision Defects
D003123	Colorectal Neoplasms, Hereditary Nonpolyposis
D003128	Coma
D003137	Common Bile Duct Diseases
D003147	Communication Disorders
D003161	Compartment Syndromes
D003229	Conjunctival Diseases
D003231	Conjunctivitis
D003240	Connective Tissue Diseases
D003244	Consciousness Disorders
D003286	Contracture
D003294	Seizures, Febrile
D003316	Corneal Diseases
D003317	Corneal Dystrophies, Hereditary
D003318	Corneal Opacity
D003320	Corneal Ulcer
D003323	Coronary Aneurysm
D003324	Coronary Artery Disease
D003327	Coronary Disease
D003328	Coronary Thrombosis
D003329	Coronary Vasospasm
D003330	Coronary Vessel Anomalies
D003371	Cough
D003389	Cranial Nerve Diseases
D003390	Cranial Nerve Neoplasms
D003394	Craniofacial Dysostosis
D003397	Craniopharyngioma
D003398	Craniosynostoses
D003409	Congenital Hypothyroidism
D003410	Cri-du-Chat Syndrome
D003414	Crigler-Najjar Syndrome
D003424	Crohn Disease
D003456	Cryptorchidism
D003480	Cushing Syndrome
D003483	Cutis Laxa
D003528	Carcinoma, Adenoid Cystic
D003550	Cystic Fibrosis
D003554	Cystinosis
D003555	Cystinuria
D003556	Cystitis
D003557	Phyllodes Tumor
D003560	Cysts
D003616	Dandy-Walker Syndrome
D003635	De Lange Syndrome
D003638	Deafness
D003639	Hearing Loss, Sudden
D003677	Deficiency Diseases
D003680	Deglutition Disorders
D003681	Dehydration
D003704	Dementia
D003711	Demyelinating Diseases
D003731	Dental Caries
D003744	Dental Enamel Hypoplasia
D003784	Dental Pulp Calcification
D003788	Dental Pulp Diseases
D003805	Dentin Dysplasia
D003811	Dentinogenesis Imperfecta
D003865	Depressive Disorder, Major
D003866	Depressive Disorder
D003872	Dermatitis
D003873	Dermatitis, Exfoliative
D003875	Drug Eruptions
D003876	Dermatitis, Atopic
D003877	Dermatitis, Contact
D003881	Dermatomycoses
D003882	Dermatomyositis
D003884	Dermoid Cyst
D003914	Dextrocardia
D003919	Diabetes Insipidus
D003920	Diabetes Mellitus
D003921	Diabetes Mellitus, Experimental
D003922	Diabetes Mellitus, Type 1
D003923	Diabetes Mellitus, Lipoatrophic
D003924	Diabetes Mellitus, Type 2
D003925	Diabetic Angiopathies
D003928	Diabetic Nephropathies
D003929	Diabetic Neuropathies
D003930	Diabetic Retinopathy
D003966	Camurati-Engelmann Syndrome
D003969	Vipoma
D004062	DiGeorge Syndrome
D004065	Digestive System Abnormalities
D004066	Digestive System Diseases
D004067	Digestive System Neoplasms
D004211	Disseminated Intravascular Coagulation
D004310	Double Outlet Right Ventricle
D004314	Down Syndrome
D004342	Drug Hypersensitivity
D004370	Duane Retraction Syndrome
D004374	Ductus Arteriosus, Patent
D004378	Duodenal Diseases
D004381	Duodenal Ulcer
D004387	Dupuytren Contracture
D004392	Dwarfism
D004393	Dwarfism, Pituitary
D004401	Dysarthria
D004402	Dysautonomia, Familial
D004406	Dysgammaglobulinemia
D004409	Dyskinesia, Drug-Induced
D004410	Dyslexia
D004413	Dysostoses
D004417	Dyspnea
D004421	Dystonia
D004422	Dystonia Musculorum Deformans
D004427	Ear Diseases
D004437	Ebstein Anomaly
D004476	Ectodermal Dysplasia
D004479	Ectopia Lentis
D004480	Ectromelia
D004485	Eczema
D004489	Edema, Cardiac
D004535	Ehlers-Danlos Syndrome
D004612	Elliptocytosis, Hereditary
D004613	Ellis-Van Creveld Syndrome
D004617	Embolism
D004620	Embolism, Fat
D004652	Empty Sella Syndrome
D004660	Encephalitis
D004671	Encephalitis, Arbovirus
D004677	Encephalocele
D004681	Encephalomyelitis, Autoimmune, Experimental
D004687	Enchondromatosis
D004695	Endocardial Fibroelastosis
D004700	Endocrine System Diseases
D004701	Endocrine Gland Neoplasms
D004714	Endometrial Hyperplasia
D004715	Endometriosis
D004719	Endomyocardial Fibrosis
D004751	Enteritis
D004760	Enterocolitis
D004802	Eosinophilia
D004806	Ependymoma
D004819	Epidermodysplasia Verruciformis
D004820	Epidermolysis Bullosa
D004827	Epilepsy
D004828	Epilepsies, Partial
D004829	Epilepsy, Generalized
D004830	Epilepsy, Tonic-Clonic
D004831	Epilepsies, Myoclonic
D004832	Epilepsy, Absence
D004833	Epilepsy, Temporal Lobe
D004842	Epispadias
D004890	Erythema
D004892	Erythema Multiforme
D004893	Erythema Nodosum
D004899	Erythroblastosis, Fetal
D004915	Leukemia, Erythroblastic, Acute
D004916	Erythromelalgia
D004931	Esophageal Achalasia
D004932	Esophageal and Gastric Varices
D004933	Esophageal Atresia
D004935	Esophageal Diseases
D004937	Esophageal Fistula
D004938	Esophageal Neoplasms
D004940	Esophageal Stenosis
D004941	Esophagitis
D004942	Esophagitis, Peptic
D005058	Eunuchism
D005076	Exanthema
D005094	Exophthalmos
D005096	Exostoses
D005097	Exostoses, Multiple Hereditary
D005117	Cardiac Complexes, Premature
D005124	Eye Abnormalities
D005128	Eye Diseases
D005130	Eye Hemorrhage
D005132	Eye Manifestations
D005134	Eye Neoplasms
D005141	Eyelid Diseases
D005142	Eyelid Neoplasms
D005148	Facial Dermatoses
D005153	Facial Neoplasms
D005155	Facial Nerve Diseases
D005157	Facial Pain
D005158	Facial Paralysis
D005166	Factor V Deficiency
D005168	Factor VII Deficiency
D005171	Factor X Deficiency
D005173	Factor XI Deficiency
D005175	Factor XII Deficiency
D005177	Factor XIII Deficiency
D005198	Fanconi Syndrome
D005199	Fanconi Anemia
D005207	Fasciculation
D005234	Fatty Liver
D005235	Fatty Liver, Alcoholic
D005236	Favism
D005261	Female Urogenital Diseases and Pregnancy Complications
D005271	Femur Head Necrosis
D005313	Fetal Death
D005315	Fetal Diseases
D005317	Fetal Growth Retardation
D005320	Fetal Macrosomia
D005322	Fetal Membranes, Premature Rupture
D005327	Fetal Resorption
D005350	Fibroma
D005351	Fibromatosis, Gingival
D005354	Fibrosarcoma
D005357	Fibrous Dysplasia of Bone
D005358	Fibrous Dysplasia, Monostotic
D005359	Fibrous Dysplasia, Polyostotic
D005489	Focal Dermal Hypoplasia
D005494	Folic Acid Deficiency
D005497	Follicular Cyst
D005512	Food Hypersensitivity
D005530	Foot Deformities
D005532	Foot Deformities, Congenital
D005600	Fragile X Syndrome
D005621	Friedreich Ataxia
D005633	Fructose Intolerance
D005642	Fuchs' Endothelial Dystrophy
D005645	Fucosidosis
D005687	Galactorrhea
D005693	Galactosemias
D005705	Gallbladder Diseases
D005706	Gallbladder Neoplasms
D005715	Gambling
D005733	Gangliosidoses
D005736	Gardner Syndrome
D005756	Gastritis
D005757	Gastritis, Atrophic
D005759	Gastroenteritis
D005764	Gastroesophageal Reflux
D005767	Gastrointestinal Diseases
D005770	Gastrointestinal Neoplasms
D005776	Gaucher Disease
D005831	Genital Diseases, Female
D005832	Genital Diseases, Male
D005833	Genital Neoplasms, Female
D005834	Genital Neoplasms, Male
D005870	Giant Cell Tumors
D005871	Giant Lymph Node Hyperplasia
D005877	Gigantism
D005878	Gilbert Disease
D005879	Tourette Syndrome
D005882	Gingival Diseases
D005885	Gingival Hyperplasia
D005886	Gingival Hypertrophy
D005901	Glaucoma
D005902	Glaucoma, Open-Angle
D005909	Glioblastoma
D005910	Glioma
D005918	Glomus Tumor
D005921	Glomerulonephritis
D005922	Glomerulonephritis, IGA
D005923	Glomerulosclerosis, Focal Segmental
D005935	Glucagonoma
D005953	Glycogen Storage Disease Type I
D005955	Glucosephosphate Dehydrogenase Deficiency
D006008	Glycogen Storage Disease
D006009	Glycogen Storage Disease Type II
D006010	Glycogen Storage Disease Type III
D006011	Glycogen Storage Disease Type IV
D006012	Glycogen Storage Disease Type V
D006013	Glycogen Storage Disease Type VI
D006014	Glycogen Storage Disease Type VII
D006015	Glycogen Storage Disease Type VIII
D006029	Glycosuria
D006030	Glycosuria, Renal
D006042	Goiter
D006043	Goiter, Endemic
D006044	Goiter, Nodular
D006058	Gonadal Disorders
D006059	Gonadal Dysgenesis
D006061	Gonadal Dysgenesis, 46,XY
D006073	Gout
D006086	Graft vs Host Disease
D006105	Granulomatous Disease, Chronic
D006106	Granulosa Cell Tumor
D006111	Graves Disease
D006177	Gynecomastia
D006201	Hair Diseases
D006210	Hallermann's Syndrome
D006211	Pantothenate Kinase-Associated Neurodegeneration
D006212	Hallucinations
D006222	Hamartoma
D006223	Hamartoma Syndrome, Multiple
D006226	Hand Deformities
D006228	Hand Deformities, Congenital
D006250	Hartnup Disease
D006255	Rhinitis, Allergic, Seasonal
D006258	Head and Neck Neoplasms
D006259	Craniocerebral Trauma
D006261	Headache
D006311	Hearing Disorders
D006312	Hearing Loss, Bilateral
D006313	Hearing Loss, Central
D006314	Hearing Loss, Conductive
D006317	Hearing Loss, Noise-Induced
D006319	Hearing Loss, Sensorineural
D006323	Heart Arrest
D006327	Heart Block
D006330	Heart Defects, Congenital
D006331	Heart Diseases
D006332	Cardiomegaly
D006333	Heart Failure
D006338	Heart Neoplasms
D006341	Heart Rupture
D006342	Heart Rupture, Post-Infarction
D006343	Heart Septal Defects
D006344	Heart Septal Defects, Atrial
D006345	Heart Septal Defects, Ventricular
D006349	Heart Valve Diseases
D006390	Hemangioendothelioma
D006391	Hemangioma
D006392	Hemangioma, Cavernous
D006393	Hemangiopericytoma
D006394	Hemangiosarcoma
D006402	Hematologic Diseases
D006408	Hematoma, Subdural
D006417	Hematuria
D006425	Hemic and Lymphatic Diseases
D006429	Hemiplegia
D006432	Hemochromatosis
D006445	Hemoglobin C Disease
D006450	Hemoglobin SC Disease
D006453	Hemoglobinopathies
D006456	Hemoglobinuria
D006457	Hemoglobinuria, Paroxysmal
D006463	Hemolytic-Uremic Syndrome
D006467	Hemophilia A
D006471	Gastrointestinal Hemorrhage
D006474	Hemorrhagic Disorders
D006484	Hemorrhoids
D006486	Hemosiderosis
D006501	Hepatic Encephalopathy
D006502	Budd-Chiari Syndrome
D006504	Hepatic Veno-Occlusive Disease
D006505	Hepatitis
D006509	Hepatitis B
D006519	Hepatitis, Alcoholic
D006520	Hepatitis, Animal
D006521	Hepatitis, Chronic
D006522	Hepatitis, Infectious Canine
D006524	Hepatitis, Viral, Animal
D006525	Hepatitis, Viral, Human
D006526	Hepatitis C
D006527	Hepatolenticular Degeneration
D006528	Carcinoma, Hepatocellular
D006529	Hepatomegaly
D006530	Hepatorenal Syndrome
D006554	Hernia, Umbilical
D006556	Heroin Dependence
D006618	Hip Dislocation, Congenital
D006623	von Hippel-Lindau Disease
D006627	Hirschsprung Disease
D006628	Hirsutism
D006646	Histiocytosis, Langerhans-Cell
D006679	HIV Seropositivity
D006685	Hoarseness
D006689	Hodgkin Disease
D006712	Homocystinuria
D006816	Huntington Disease
D006819	Hyaline Membrane Disease
D006828	Hydatidiform Mole
D006831	Polyhydramnios
D006832	Hydranencephaly
D006849	Hydrocephalus
D006869	Hydronephrosis
D006871	Hydrophthalmos
D006929	Hyperaldosteronism
D006930	Hyperalgesia
D006933	Hyperbilirubinemia, Hereditary
D006934	Hypercalcemia
D006937	Hypercholesterolemia
D006938	Hyperlipoproteinemia Type II
D006940	Hyperemia
D006942	Hypergammaglobulinemia
D006943	Hyperglycemia
D006945	Hyperhidrosis
D006946	Hyperinsulinism
D006947	Hyperkalemia
D006948	Hyperkinesis
D006949	Hyperlipidemias
D006950	Hyperlipidemia, Familial Combined
D006951	Hyperlipoproteinemias
D006952	Hyperlipoproteinemia Type III
D006953	Hyperlipoproteinemia Type IV
D006954	Hyperlipoproteinemia Type V
D006955	Hypernatremia
D006956	Hyperopia
D006958	Hyperostosis, Cortical, Congenital
D006959	Hyperoxaluria
D006960	Hyperoxaluria, Primary
D006961	Hyperparathyroidism
D006962	Hyperparathyroidism, Secondary
D006964	Hyperpituitarism
D006966	Hyperprolactinemia
D006967	Hypersensitivity
D006968	Hypersensitivity, Delayed
D006969	Hypersensitivity, Immediate
D006970	Disorders of Excessive Somnolence
D006971	Hypersplenism
D006972	Hypertelorism
D006973	Hypertension
D006974	Hypertension, Malignant
D006975	Hypertension, Portal
D006976	Hypertension, Pulmonary
D006977	Hypertension, Renal
D006978	Hypertension, Renovascular
D006980	Hyperthyroidism
D006981	Hyperthyroxinemia
D006983	Hypertrichosis
D006985	Hyperventilation
D006994	Hypoaldosteronism
D006995	Hypobetalipoproteinemias
D006996	Hypocalcemia
D007003	Hypoglycemia
D007006	Hypogonadism
D007007	Hypohidrosis
D007008	Hypokalemia
D007009	Hypolipoproteinemias
D007010	Hyponatremia
D007011	Hypoparathyroidism
D007014	Hypophosphatasia
D007015	Hypophosphatemia, Familial
D007018	Hypopituitarism
D007019	Hypoproteinemia
D007020	Hypoprothrombinemias
D007021	Hypospadias
D007022	Hypotension
D007024	Hypotension, Orthostatic
D007027	Hypothalamic Diseases
D007029	Hypothalamic Neoplasms
D007037	Hypothyroidism
D007039	Hypotrichosis
D007040	Hypoventilation
D007057	Ichthyosis
D007077	Ileal Diseases
D007079	Ileitis
D007105	Immune Complex Diseases
D007119	Immunoblastic Lymphadenopathy
D007153	Immunologic Deficiency Syndromes
D007154	Immune System Diseases
D007160	Immunoproliferative Disorders
D007172	Erectile Dysfunction
D007174	Disruptive, Impulse Control, and Conduct Disorders
D007177	Inappropriate ADH Syndrome
D007184	Incontinentia Pigmenti
D007232	Infant, Newborn, Diseases
D007235	Infant, Premature, Diseases
D007246	Infertility
D007247	Infertility, Female
D007248	Infertility, Male
D007251	Influenza, Human
D007319	Sleep Initiation and Maintenance Disorders
D007333	Insulin Resistance
D007340	Insulinoma
D007405	Intervertebral Disc Displacement
D007409	Intestinal Atresia
D007410	Intestinal Diseases
D007414	Intestinal Neoplasms
D007415	Intestinal Obstruction
D007416	Intestinal Perforation
D007418	Intestinal Pseudo-Obstruction
D007499	Iris Diseases
D007516	Adenoma, Islet Cell
D007562	Creutzfeldt-Jakob Syndrome
D007566	Jaundice, Chronic Idiopathic
D007567	Jaundice, Neonatal
D007569	Jaw Abnormalities
D007570	Jaw Cysts
D007571	Jaw Diseases
D007573	Jaw Neoplasms
D007589	Job Syndrome
D007592	Joint Diseases
D007593	Joint Instability
D007619	Kartagener Syndrome
D007625	Kearns-Sayre Syndrome
D007627	Keloid
D007634	Keratitis
D007636	Keratoacanthoma
D007640	Keratoconus
D007642	Keratosis
D007644	Darier Disease
D007645	Keratoderma, Palmoplantar
D007647	Kernicterus
D007662	Ketosis
D007669	Kidney Calculi
D007674	Kidney Diseases
D007676	Kidney Failure, Chronic
D007680	Kidney Neoplasms
D007683	Kidney Tubular Necrosis, Acute
D007690	Polycystic Kidney Diseases
D007706	Menkes Kinky Hair Syndrome
D007714	Klippel-Feil Syndrome
D007715	Klippel-Trenaunay-Weber Syndrome
D007724	Vulvar Lichen Sclerosus
D007738	Kyphosis
D007744	Obstetric Labor Complications
D007752	Obstetric Labor, Premature
D007759	Labyrinth Diseases
D007766	Lacrimal Apparatus Diseases
D007767	Lacrimal Duct Obstruction
D007775	Lactation Disorders
D007787	Lactose Intolerance
D007805	Language Development Disorders
D007806	Language Disorders
D007818	Laryngeal Diseases
D007822	Laryngeal Neoplasms
D007849	Laurence-Moon Syndrome
D007859	Learning Disorders
D007863	Lecithin Acyltransferase Deficiency
D007873	Legg-Calve-Perthes Disease
D007876	Legionellosis
D007877	Legionnaires' Disease
D007888	Leigh Disease
D007889	Leiomyoma
D007890	Leiomyosarcoma
D007896	Leishmaniasis
D007897	Leishmaniasis, Mucocutaneous
D007905	Lens Diseases
D007906	Lens Subluxation
D007911	Lentigo
D007926	Lesch-Nyhan Syndrome
D007938	Leukemia
D007943	Leukemia, Hairy Cell
D007945	Leukemia, Lymphoid
D007946	Leukemia, Mast-Cell
D007947	Leukemia, Megakaryoblastic, Acute
D007948	Leukemia, Monocytic, Acute
D007951	Leukemia, Myeloid
D007955	Leukemoid Reaction
D007960	Leukocyte Disorders
D007964	Leukocytosis
D007965	Leukodystrophy, Globoid Cell
D007966	Leukodystrophy, Metachromatic
D007970	Leukopenia
D007971	Leukoplakia
D007972	Leukoplakia, Oral
D007984	Leydig Cell Tumor
D008039	Linitis Plastica
D008047	Lip Diseases
D008052	Lipid Metabolism, Inborn Errors
D008059	Mucopolysaccharidosis I
D008060	Lipodystrophy
D008064	Lipidoses
D008065	Lipoid Proteinosis of Urbach and Wiethe
D008067	Lipoma
D008068	Lipomatosis
D008072	Hyperlipoproteinemia Type I
D008080	Liposarcoma
D008103	Liver Cirrhosis
D008104	Liver Cirrhosis, Alcoholic
D008105	Liver Cirrhosis, Biliary
D008106	Liver Cirrhosis, Experimental
D008107	Liver Diseases
D008108	Liver Diseases, Alcoholic
D008109	Liver Diseases, Parasitic
D008113	Liver Neoplasms
D008114	Liver Neoplasms, Experimental
D008133	Long QT Syndrome
D008141	Lordosis
D008171	Lung Diseases
D008172	Lung Diseases, Fungal
D008173	Lung Diseases, Obstructive
D008175	Lung Neoplasms
D008178	Lupus Erythematosus, Cutaneous
D008180	Lupus Erythematosus, Systemic
D008181	Lupus Nephritis
D008200	Lymphangiectasis
D008201	Lymphangiectasis, Intestinal
D008203	Lymphangiomyoma
D008206	Lymphatic Diseases
D008207	Lymphatic Metastasis
D008209	Lymphedema
D008218	Lymphocytosis
D008223	Lymphoma
D008224	Lymphoma, Follicular
D008228	Lymphoma, Non-Hodgkin
D008231	Lymphopenia
D008232	Lymphoproliferative Disorders
D008258	Waldenstrom Macroglobulinemia
D008265	Macrostomia
D008268	Macular Degeneration
D008269	Macular Edema
D008275	Magnesium Deficiency
D008286	Malabsorption Syndromes
D008325	Mammary Neoplasms, Experimental
D008336	Mandibular Diseases
D008339	Mandibular Neoplasms
D008342	Mandibulofacial Dysostosis
D008363	alpha-Mannosidosis
D008375	Maple Syrup Urine Disease
D008382	Marfan Syndrome
D008413	Mastitis
D008415	Mastocytosis
D008439	Maxillary Diseases
D008441	Maxillary Neoplasms
D008444	Maxillary Sinus Neoplasms
D008477	Mediastinal Diseases
D008479	Mediastinal Neoplasms
D008527	Medulloblastoma
D008531	Megacolon
D008545	Melanoma
D008546	Melanoma, Experimental
D008548	Melanosis
D008557	Melorheostosis
D008569	Memory Disorders
D008575	Meniere Disease
D008577	Meningeal Neoplasms
D008579	Meningioma
D008580	Meningism
D008581	Meningitis
D008582	Meningitis, Aseptic
D008585	Meningitis, Meningococcal
D008588	Meningocele
D008590	Meningoencephalitis
D008591	Meningomyelocele
D008594	Menopause, Premature
D008607	Intellectual Disability
D008641	Mesenteric Vascular Occlusion
D008654	Mesothelioma
D008659	Metabolic Diseases
D008661	Metabolism, Inborn Errors
D008664	Metal Metabolism, Inborn Errors
